GEMS Contest ID,Registered Voters for District,Total Votes,Election Year,Election Month,Election Type
1,77579,41002,2021,December,recall election
56,2188,716,2021,November,general election
265,1084,274,2021,November,general election
233,16399,4227,2021,November,general election
285,42930,9907,2021,November,general election
272,89467,25129,2021,November,general election
90,15782,4751,2021,November,general election
335,9366,3025,2021,November,general election
42,1747,284,2021,November,general election
356,5560,1514,2021,November,general election
34,4165,1079,2021,November,general election
257,14206,4336,2021,November,general election
220,29110,7606,2021,November,general election
100,57797,19859,2021,November,general election
337,9366,3192,2021,November,general election
321,8905,2801,2021,November,general election
336,9366,2655,2021,November,general election
1,6642,2119,2021,November,general election
308,223,82,2021,November,general election
140,39169,15163,2021,November,general election
98,71229,14500,2021,November,general election
180,914,450,2021,November,general election
126,5658,1481,2021,November,general election
201,103872,28838,2021,November,general election
349,9366,3920,2021,November,general election
283,75,46,2021,November,general election
104,10364,3649,2021,November,general election
117,18709,9612,2021,November,general election
41,82220,31119,2021,November,general election
136,60262,13061,2021,November,general election
159,11069,3091,2021,November,general election
83,52891,12354,2021,November,general election
96,71229,18828,2021,November,general election
256,14206,3497,2021,November,general election
190,3407,766,2021,November,general election
348,9366,2967,2021,November,general election
85,23796,6337,2021,November,general election
350,6642,1579,2021,November,general election
338,19468,5000,2021,November,general election
329,189449,50522,2021,November,general election
169,268,120,2021,November,general election
297,17009,3905,2021,November,general election
281,1862,597,2021,November,general election
73,8853,2211,2021,November,general election
362,1400321,574479,2021,November,general election
222,378,108,2021,November,general election
119,8257,3335,2021,November,general election
300,11497,2464,2021,November,general election
204,121935,42571,2021,November,general election
71,5145,1540,2021,November,general election
26,18041,6956,2021,November,general election
183,914,436,2021,November,general election
108,18034,5536,2021,November,general election
24,1400321,547628,2021,November,general election
290,9287,1682,2021,November,general election
3,5658,2237,2021,November,general election
158,8494,2575,2021,November,general election
38,39509,7587,2021,November,general election
79,52891,15569,2021,November,general election
274,89467,20151,2021,November,general election
284,9454,3387,2021,November,general election
306,17552,4399,2021,November,general election
